siren;denomination;categorie_juridique;tranche_effectif;population;present_fichier_odf;obligation_publication;latitude;longitude;adresse
59804062;REGIE DES TRANSPORTS METROPOLITAINS;4110;51;-1;False;non_connu;;;
68801646;REGIE DEPARTEMENTALE DE TRANSPORTS DES BOUCHES DU RHONE;4150;41;-1;False;non_connu;;;
130001530;DIRECTION INTERDEPARTEMENTALE DES ROUTES EST;7172;41;-1;False;non_connu;48.694502;6.196012;10 AU 16 10 PROMENADE DES CANAUX 54000 NANCY BP 82120 54021 NANCY CEDEX
130001563;DIRECTION INTERDEPARTEMENTALE DES ROUTES MASSIF-CENTRAL;7172;32;-1;False;non_connu;;;
130001571;DIRECTION INTERDEPARTEMENTALE DES ROUTES NORD;7172;41;-1;False;non_connu;;;
130001670;DIRECTION INTERDEPARTEMENTALE DES ROUTES SUD-OUEST;7172;32;-1;False;non_connu;;;
130001688;DIRECTION INTERDEPARTEMENTALE DES ROUTES CENTRE-OUEST;7172;32;-1;False;non_connu;;;
130001696;DIRECTION INTERDEPARTEMENTALE DES ROUTES NORD-OUEST;7172;41;-1;False;non_connu;;;
130001704;DIRECTION INTERDEPARTEMENTALE DES ROUTES OUEST;7172;41;-1;False;non_connu;;;
130001712;DIRECTION INTERDEPARTEMENTALE DES ROUTES ATLANTIQUE;7172;32;-1;False;non_connu;;;
130001738;DIRECTION INTERDEPARTEMENTALE DES ROUTES CENTRE-EST;7172;41;-1;False;non_connu;;;
130001761;DIRECTION INTERDEPARTEMENTALE DES ROUTES MEDITERRANEE;7172;41;-1;False;non_connu;43.303663;5.377602;16 RUE ANTOINE ZATTARA 13003 MARSEILLE 3 CS 70248 13331 MARSEILLE CEDEX 03
130002900;INSTITUT FORMATION DES MAITRES DE NOUVELLE CALEDONIE;7379;non_connu;-1;False;non_connu;-22.297479;166.446846;ANSE VATA 14 RUE PIERRE SAUVAN 98800 NOUMEA BP 8036
130003346;PREFECTURE DE MAYOTTE;7172;non_connu;-1;False;non_connu;-12.776704;45.228826;KAWENI AV DE LA PREFECTURE 97600 MAMOUDZOU BP 676
130003478;DIRECTION INTERDEPARTEMENTALE DE LA POLICE AUX FRONTIERES - LE MESNIL-AMELOT;7172;32;-1;False;non_connu;49.020104;2.587371;DIRECTION ADMINISTRATIVE 4 RUE DE PARIS 77990 LE MESNIL-AMELOT
130003601;DIRECTION REGIONALE DES DOUANES MAYOTTE;7172;non_connu;-1;False;non_connu;-12.780459;45.230182;IMMEUBLE JACARANDA RUE MARIAZE 97600 MAMOUDZOU BP 404
130004773;GROUPEMENT EUROPEEN DE COOPERATION TERRITORIALE EUROMETROPOLE LILLE - KORTRIJK - TOURNAI;7355;non_connu;2637650;False;non_connu;50.642781;3.077007;1 RUE DU BALLON 59800 LILLE BP 749 59034 LILLE CEDEX
130006554;FARE TAMA HAU MAISON ENFANT ADOLESCENT EN DIFFICULTE;7379;non_connu;-1;False;non_connu;;;120 RUE DE FARE UTE 98713 PAPEETE
130007230;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES HERAULT;7172;42;-1;False;non_connu;;;
130007248;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES MARNE;7172;41;-1;False;non_connu;;;
130007263;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES SOMME;7172;41;-1;False;non_connu;;;
130007271;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES INDRE;7172;32;-1;False;non_connu;;;
130007289;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES LANDES;7172;41;-1;False;non_connu;;;
130007297;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES HAUTS DE SEINE;7172;51;-1;False;non_connu;;;
130007750;DIRECTION DEPARTEMENTALE DES TERRITOIRES DROME;7172;22;-1;False;non_connu;44.935113;4.889394;4 PL RENE LAENNEC 26000 VALENCE
130007784;DIRECTION DEPARTEMENTALE DES TERRITOIRES AVEYRON;7172;22;-1;False;non_connu;44.358781;2.562552;BOURRAN 9 RUE DE BRUXELLES 12000 RODEZ BP 3370 12033 RODEZ CEDEX 9
130007818;DIRECTION DEPARTEMENTALE DES TERRITOIRES HAUTES-ALPES;7172;22;-1;False;non_connu;44.670801;6.075874;3 PL DU CHAMPSAUR 05000 GAP BP 98 05007 GAP CEDEX
130008147;DIRECTION DEPARTEMENTALE TERRITOIRES PUY-DE-DOME;7172;22;-1;False;non_connu;45.769789;3.085484;7 RUE LEO LAGRANGE 63000 CLERMONT-FERRAND 63033 CLERMONT FERRAND CEDEX 1
130008154;DIRECTION DEPARTEMENTALE DES TERRITOIRES ET DE LA MER SEINE-MARITIME;7172;32;-1;False;non_connu;49.435358;1.089835;CITE ADMINISTRATIVE 2 RUE SAINT SEVER 76100 ROUEN 76032 ROUEN CEDEX
130008162;DIRECTION DEPARTEMENTALE PROTECTION POPULATIONS ISERE;7172;21;-1;False;non_connu;45.19287;5.712338;22 AV DOYEN LOUIS WEIL 38000 GRENOBLE CS 6 38028 GRENOBLE CEDEX 1
130008170;DIRECTION DEPARTEMENTALE DES TERRITOIRES ET DE LA MER MANCHE;7172;31;-1;False;non_connu;49.118489;-1.091358;477 BD DE LA DOLLEE 50000 SAINT-LO BP 60355 50015 ST LO CEDEX
